strategy,pawc_mean,pawc_stddev,sample_count
technical_terms,22.205911999999998,27.629883646918806,150
quotation,24.251219333333335,25.829693622314682,150
keyword_stuffing,14.42825533333333,22.701115043457968,150
citation,25.954039333333334,29.729556211639956,150
original,21.26765333333333,27.125260277470005,150
unique_words,17.891805333333334,26.871725512512906,150
statistics,17.91351866666667,23.644960829299595,150
easy_to_understand,19.79193933333333,23.215329520475937,150
authoritative,22.379396,26.858633015285466,150
fluency,26.661898,29.496453838036057,150
