stage,queries,purpose,provider_calls,prompt_tokens,completion_tokens,total_tokens,estimated_runtime_seconds,estimated_cost_usd
stage1,30,answer_generation,300,1345290,309480,1654770,1245,1.136865
stage1,30,strategy_rewrite,270,293330,214470,507800,1859,0.46836999999999995
stage1,30,subjective_evaluation,10500,5141940,10520,5152460,9076,7.73395
stage2,100,answer_generation,1000,4484300,1031600,5515900,4151,3.78955
stage2,100,strategy_rewrite,900,977767,714900,1692667,6197,1.5612333333333333
stage2,100,subjective_evaluation,35000,17139800,35067,17174867,30255,25.779833333333336
stage3,300,answer_generation,3000,13452900,3094800,16547700,12454,11.368649999999999
stage3,300,strategy_rewrite,2700,2933300,2144700,5078000,18590,4.6837
stage3,300,subjective_evaluation,105000,51419400,105200,51524600,90764,77.3395
full,997,answer_generation,9970,44708471,10285052,54993523,41388,37.7818135
full,997,strategy_rewrite,8973,9748334,7127553,16875887,61780,15.565496333333332
full,997,subjective_evaluation,348950,170883806,349615,171233421,301639,257.02493833333335
