strategy,pawc_mean,pawc_stddev,sample_count
original,7.261246666666667,12.9457427281198,15
statistics,8.777626666666666,12.340870855845898,15
easy_to_understand,8.583066666666667,13.473030584927095,15
citation,15.150860000000002,13.924410660357792,15
authoritative,13.336746666666668,15.683378948831999,15
quotation,11.89942,12.068005123536958,15
fluency,24.912966666666666,35.61700433353763,15
unique_words,8.848146666666668,12.51495411485605,15
technical_terms,3.763793333333333,6.178669246628929,15
keyword_stuffing,12.299833333333332,18.183718302790496,15
